Data;Dia;Hora;BTN A;BTN B;BTN C;IP
1/jan/2023;dom;00:15;0,0219961;0,0315221;0,0376807;0,0612903
1/jan/2023;dom;00:30;0,0215333;0,0306088;0,0366058;0,0612903
1/jan/2023;dom;00:45;0,0211067;0,0297747;0,0354440;0,0612903
1/jan/2023;dom;01:00;0,0207253;0,0290372;0,0341715;0,0612903
1/jan/2023;dom;01:15;0,0203394;0,0282940;0,0328758;0,0612903
1/jan/2023;dom;01:30;0,0199438;0,0275962;0,0316081;0,0612903
1/jan/2023;dom;01:45;0,0195493;0,0269775;0,0303954;0,0612903
1/jan/2023;dom;02:00;0,0191939;0,0263608;0,0291829;0,0612903
1/jan/2023;dom;02:15;0,0188599;0,0257374;0,0280653;0,0612903
1/jan/2023;dom;02:30;0,0185571;0,0251327;0,0270019;0,0612903
1/jan/2023;dom;02:45;0,0182547;0,0246389;0,0260779;0,0612903
1/jan/2023;dom;03:00;0,0180449;0,0241689;0,0252000;0,0612903
1/jan/2023;dom;03:15;0,0179138;0,0236655;0,0244389;0,0612903
1/jan/2023;dom;03:30;0,0178216;0,0231567;0,0237071;0,0612903
1/jan/2023;dom;03:45;0,0177265;0,0227849;0,0231279;0,0612903
1/jan/2023;dom;04:00;0,0176239;0,0225290;0,0226338;0,0612903
1/jan/2023;dom;04:15;0,0175783;0,0223821;0,0222407;0,0612903
1/jan/2023;dom;04:30;0,0175699;0,0222733;0,0218511;0,0612903
1/jan/2023;dom;04:45;0,0175829;0,0221904;0,0215650;0,0612903
1/jan/2023;dom;05:00;0,0176227;0,0221623;0,0213194;0,0612903
1/jan/2023;dom;05:15;0,0176871;0,0220607;0,0211538;0,0612903
1/jan/2023;dom;05:30;0,0177373;0,0219322;0,0209724;0,0612903
1/jan/2023;dom;05:45;0,0177658;0,0217650;0,0208269;0,0612903
1/jan/2023;dom;06:00;0,0178528;0,0217089;0,0207224;0,0612903
1/jan/2023;dom;06:15;0,0179626;0,0216789;0,0207240;0,0612903
1/jan/2023;dom;06:30;0,0181338;0,0217246;0,0207747;0,0612903
1/jan/2023;dom;06:45;0,0183063;0,0217636;0,0208352;0,0612903
1/jan/2023;dom;07:00;0,0186162;0,0220267;0,0210003;0,0607952
1/jan/2023;dom;07:15;0,0189793;0,0224063;0,0213029;0,0591416
1/jan/2023;dom;07:30;0,0193039;0,0228677;0,0217735;0,0476227
1/jan/2023;dom;07:45;0,0196043;0,0232565;0,0222809;0,0239468
1/jan/2023;dom;08:00;0,0199422;0,0235319;0,0229002;0,0069608
1/jan/2023;dom;08:15;0,0203335;0,0238247;0,0237617;0,0001111
1/jan/2023;dom;08:30;0,0207295;0,0242741;0,0248953;0,0000003
1/jan/2023;dom;08:45;0,0211590;0,0249602;0,0263581;0,0000003
1/jan/2023;dom;09:00;0,0216963;0,0258680;0,0279442;0,0000003
1/jan/2023;dom;09:15;0,0223481;0,0268556;0,0297979;0,0000003
1/jan/2023;dom;09:30;0,0230534;0,0278924;0,0316184;0,0000003
1/jan/2023;dom;09:45;0,0237828;0,0290866;0,0334922;0,0000003
1/jan/2023;dom;10:00;0,0244506;0,0303744;0,0351513;0,0000003
1/jan/2023;dom;10:15;0,0250628;0,0314912;0,0367701;0,0000003
1/jan/2023;dom;10:30;0,0255803;0,0323831;0,0382449;0,0000003
1/jan/2023;dom;10:45;0,0260654;0,0330849;0,0396103;0,0000003
1/jan/2023;dom;11:00;0,0264717;0,0339590;0,0408493;0,0000003
1/jan/2023;dom;11:15;0,0268324;0,0347253;0,0421003;0,0000003
1/jan/2023;dom;11:30;0,0271528;0,0353421;0,0434123;0,0000003
1/jan/2023;dom;11:45;0,0274422;0,0357669;0,0446884;0,0000003
1/jan/2023;dom;12:00;0,0277616;0,0360786;0,0457972;0,0000003
1/jan/2023;dom;12:15;0,0279532;0,0364841;0,0465749;0,0000003
1/jan/2023;dom;12:30;0,0279763;0,0366841;0,0469825;0,0000003
1/jan/2023;dom;12:45;0,0278169;0,0368338;0,0467260;0,0000003
1/jan/2023;dom;13:00;0,0275739;0,0366323;0,0459167;0,0000003
1/jan/2023;dom;13:15;0,0273066;0,0363182;0,0445197;0,0000003
